Method of Travel to Work,Greater Melbourne,Rest of Vic.,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),Greater Brisbane,Rest of Qld,No Usual Address (Qld),Migratory - Offshore - Shipping (Qld),Greater Adelaide,Rest of SA,No Usual Address (SA),Migratory - Offshore - Shipping (SA),Greater Perth,Rest of WA,No Usual Address (WA),Migratory - Offshore - Shipping (WA),Greater Hobart,Rest of Tas.,No Usual Address (Tas.),Migratory - Offshore - Shipping (Tas.),Greater Darwin,Rest of NT,No Usual Address (NT),Migratory - Offshore - Shipping (NT),Australian Capital Territory,No Usual Address (ACT),Migratory - Offshore - Shipping (ACT),Other Territories,No Usual Address (OT),Migratory - Offshore - Shipping (OT),Rest of NSW,No Usual Address (NSW),Migratory - Offshore - Shipping (NSW),Greater Sydney,Total
"Ferry, car as passenger",13,7,0,0,151,99,0,0,3,0,0,0,15,8,0,0,4,3,0,0,0,5,0,0,0,0,0,4,0,0,16,0,0,172,500
"Ferry, truck",0,3,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,29
"Ferry, motorbike/scooter",3,0,0,0,16,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,39,75
"Ferry, bicycle",0,0,0,0,66,27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,0,0,222,342
"Ferry, other",0,9,0,0,24,11,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,93
"Tram, taxi",201,0,0,0,5,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,233
"Tram, car as driver",1860,27,4,0,13,15,0,0,784,3,0,0,12,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,21,0,0,210,2960
"Tram, car as passenger",899,7,5,0,4,3,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,39,1085
"Tram, truck",5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Tram, motorbike/scooter",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"Tram, bicycle",343,4,5,0,3,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,378
"Tram, other",200,5,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,250
"Taxi, car as driver",218,39,0,0,112,78,0,0,53,7,0,0,89,17,0,0,12,16,0,0,16,4,0,0,18,0,0,0,0,0,54,0,0,283,1016
"Taxi, car as passenger",134,63,0,0,120,186,4,0,75,25,0,0,66,44,0,0,13,13,0,0,21,11,0,0,23,0,0,0,0,0,126,0,0,161,1085
"Taxi, truck",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
"Taxi, motorbike/scooter",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
"Taxi, bicycle",7,4,0,0,6,8,0,0,4,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,17,66
