Method of Travel to Work,Sydney,Hunter NSW,Illawarra NSW,Richmond-Tweed NSW,Mid-North Coast NSW,Northern NSW,North Western NSW,Central West NSW,South Eastern NSW,Murrumbidgee NSW,Murray NSW,Far West NSW,Off-Shore Areas & Migratory NSW,No Usual Address NSW,Melbourne,Barwon VIC,Western District VIC,Central Highlands VIC,Wimmera VIC,Mallee VIC,Loddon VIC,Goulburn VIC,Ovens-Murray VIC,East Gippsland VIC,Gippsland VIC,Off-Shore Areas & Migratory VIC,No Usual Address VIC,Brisbane,Gold Coast QLD,Sunshine Coast QLD,West Moreton QLD,Wide Bay-Burnett QLD,Darling Downs QLD,South West QLD,Fitzroy QLD,Central West QLD,Mackay QLD,Northern QLD,Far North QLD,North West QLD,Off-Shore Areas & Migratory QLD,No Usual Address QLD,Adelaide,Outer Adelaide,Yorke and Lower North SA,Murray Lands SA,South East SA,Eyre SA,Northern SA,Off-Shore Areas & Migratory SA,No Usual Address SA,Perth,South West WA,Lower Great Southern WA,Upper Great Southern WA,Midlands WA,South Eastern WA,Central WA,Pilbara WA,Kimberley WA,Off-Shore Areas & Migratory WA,No Usual Address WA,Greater Hobart,Southern TAS,Northern TAS,Mersey-Lyell TAS,Off-Shore Areas & Migratory TAS,No Usual Address TAS,Darwin,Northern Territory - Bal,Off-Shore Areas & Migratory NT,No Usual Address NT,Canberra,Australian Capital Territory - Bal,No Usual Address ACT,Other Territories AUST,Off-Shore Areas & Migratory AUST,No Usual Address AUST,Total
"Car as driver, motorbike/scooter",384,85,33,43,50,40,38,29,47,26,37,15,0,0,375,30,26,26,5,21,33,56,24,27,35,0,3,348,108,48,7,66,61,33,40,21,32,78,64,10,0,0,146,24,8,14,17,7,23,0,0,229,33,7,11,8,4,19,12,9,0,0,28,8,24,15,0,0,21,14,0,0,64,0,0,0,0,0,3149
"Car as driver, bicycle",425,87,48,48,31,17,7,20,37,27,18,8,0,0,725,57,19,23,15,17,54,44,31,11,23,0,0,335,72,44,4,38,33,4,32,7,22,66,94,12,0,4,268,22,4,13,18,11,19,0,0,311,43,12,4,7,12,21,11,13,0,3,51,3,21,9,0,0,76,57,0,0,143,0,0,3,0,0,3714
"Car as driver, other",591,67,29,25,35,20,16,20,36,17,20,4,0,0,630,40,15,15,11,15,24,20,18,43,33,0,0,356,84,49,3,24,32,13,28,5,39,45,77,4,0,0,172,20,5,9,11,16,12,0,0,280,55,17,0,25,18,20,15,11,0,3,57,10,22,10,0,0,31,32,0,0,83,0,0,0,0,0,3437
"Car as passenger, truck",56,13,5,0,9,5,4,0,6,3,4,0,0,0,38,6,0,4,0,0,6,4,0,4,6,0,0,24,9,12,4,4,12,0,4,0,5,11,11,0,0,0,15,0,0,0,0,0,0,0,0,29,7,5,0,0,4,0,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343
"Car as passenger, motorbike/scooter",35,10,5,0,8,4,0,0,5,3,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,24,10,0,7,7,3,6,3,0,8,9,3,0,0,0,3,0,4,4,4,0,4,0,0,10,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,221
"Car as passenger, bicycle",110,36,10,21,24,8,0,3,10,5,10,3,0,0,142,19,8,3,3,16,10,20,6,8,5,0,0,99,45,29,3,25,11,0,21,3,25,40,43,3,0,4,57,8,0,0,8,3,4,0,0,84,31,4,0,0,3,8,0,5,0,0,3,4,7,7,0,0,25,4,0,0,30,0,0,0,0,0,1126
"Car as passenger, other",169,24,13,13,8,11,4,11,12,11,8,0,0,3,160,6,9,3,0,10,5,5,3,9,5,0,0,122,26,19,3,7,9,0,13,4,9,28,34,6,0,3,69,9,0,3,3,0,6,0,0,154,18,3,0,3,5,6,12,3,4,0,13,0,0,6,0,0,15,8,0,0,30,0,0,0,0,0,1155
"Truck, motorbike/scooter",3,5,3,7,10,18,26,18,13,11,7,0,0,0,13,3,7,4,5,0,4,3,0,4,6,0,0,13,3,0,0,15,5,4,3,0,3,6,6,0,0,0,0,0,5,4,5,0,4,0,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259
"Truck, bicycle",9,0,6,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"Truck, other",22,13,0,6,7,11,4,13,5,3,3,0,0,0,13,5,0,0,3,3,3,0,5,4,3,0,0,11,4,5,0,8,0,0,4,0,3,5,0,0,0,0,8,0,0,4,0,0,0,0,0,8,7,4,4,4,3,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,219
"Motorbike/scooter, bicycle",22,4,4,0,4,0,0,0,0,4,0,0,0,0,29,4,0,0,0,0,3,0,0,0,0,0,0,20,6,5,0,0,4,0,0,0,4,16,0,0,0,0,8,0,0,0,0,6,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,172
"Motorbike/scooter, other",8,5,3,0,5,4,4,9,5,4,5,0,0,0,3,5,10,0,0,4,4,7,0,0,0,0,0,4,4,0,5,9,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
"Bicycle, other",6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"Train, bus, ferry",739,8,0,0,0,0,0,5,0,0,0,0,0,6,41,0,0,0,0,0,0,0,0,0,5,0,0,151,4,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001
"Train, bus, tram",122,0,4,0,0,0,0,0,0,0,0,0,0,0,2984,14,0,8,0,0,0,7,0,0,15,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3196
"Train, bus, taxi",925,17,17,0,0,3,0,5,4,0,0,0,0,5,227,4,0,0,0,0,0,0,0,0,3,0,0,152,16,0,0,0,3,0,0,0,0,0,4,0,0,0,32,0,0,0,0,0,0,0,0,102,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527
"Train, bus, car as driver",1697,24,28,0,0,0,3,3,4,0,0,0,0,5,565,5,0,10,0,0,6,5,0,4,38,0,0,399,42,22,5,0,0,0,0,0,0,0,0,0,0,0,165,28,0,0,0,0,0,0,0,802,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3864
"Train, bus, car as passenger",2859,44,55,3,0,0,0,4,4,0,0,0,0,11,1168,11,0,4,0,0,3,0,0,0,6,0,4,619,55,16,5,0,0,0,0,0,0,0,0,0,0,0,176,11,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5844
"Train, bus, truck",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"Train, bus, motorbike/scooter",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Train, bus, bicycle",119,4,4,0,0,0,0,0,0,0,0,0,0,0,70,4,0,6,0,0,0,0,0,0,0,0,0,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
"Train, bus, other",187,0,3,0,4,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,5,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347
"Train, ferry, tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Train, ferry, taxi",18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"Train, ferry, car as driver",88,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
"Train, ferry, car as passenger",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"Train, ferry, truck",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Train, ferry, motorbike/scooter",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Train, ferry, bicycle",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Train, ferry, other",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Train, tram, taxi",6,0,0,0,0,0,0,0,0,0,0,0,0,0,157,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
"Train, tram, car as driver",85,0,4,0,0,0,0,0,0,0,0,0,0,0,2431,138,0,76,0,0,74,21,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2841
"Train, tram, car as passenger",62,0,4,0,0,0,0,0,0,0,0,0,0,0,1169,29,0,14,0,0,16,8,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315
"Train, tram, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, tram, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Train, tram, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
"Train, tram, other",5,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
"Train, taxi, car as driver",120,4,3,0,0,0,0,3,0,0,0,0,0,0,61,0,0,5,0,0,7,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,252
"Train, taxi, car as passenger",139,3,7,0,0,0,0,0,0,0,0,0,0,5,45,7,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262
"Train, taxi, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, taxi, bicycle",6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"Train, taxi, other",41,0,0,4,0,0,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,97
"Train, car as driver, car as passenger",468,15,24,0,0,0,0,0,0,0,0,0,0,0,254,11,0,5,0,0,9,4,0,0,3,0,0,138,9,4,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050
"Train, car as driver, truck",7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Train, car as driver, motorbike/scooter",16,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"Train, car as driver, bicycle",40,5,4,0,0,0,0,0,0,0,0,0,0,0,55,4,0,4,0,0,3,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
"Train, car as driver, other",127,0,9,5,4,0,0,0,0,0,0,0,0,0,82,7,0,0,0,0,4,0,0,0,0,0,0,43,11,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
"Train, car as passenger, truck",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Train, car as passenger, motorbike/scooter",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Train, car as passenger, bicycle",28,0,6,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
"Train, car as passenger, other",91,7,10,0,0,0,0,5,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
"Train, truck, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, truck, bicycle",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Train, truck, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, motorbike/scooter, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Train, motorbike/scooter, other",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Train, bicycle, other",16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Bus, ferry, tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, ferry, taxi",49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"Bus, ferry, car as driver",90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,156
"Bus, ferry, car as passenger",54,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
"Bus, ferry, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, ferry, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
"Bus, ferry, bicycle",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"Bus, ferry, other",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Bus, tram, taxi",16,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"Bus, tram, car as driver",7,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
"Bus, tram, car as passenger",13,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
"Bus, tram, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, tram, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, tram, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Bus, tram, other",5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Bus, taxi, car as driver",73,0,0,0,0,0,0,0,0,3,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,9,5,0,0,0,13,5,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,201
"Bus, taxi, car as passenger",88,16,4,0,3,0,0,0,0,0,0,0,0,0,42,5,5,0,0,0,3,0,4,0,3,0,0,49,25,0,0,8,5,0,6,0,5,6,14,0,0,0,32,0,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,383
"Bus, taxi, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
