Method of Travel to Work,Sydney,Balance of NSW,New South Wales,Melbourne,Balance of Victoria,Victoria,Brisbane,Balance of QLD,Queensland,Adelaide,Balance of SA,South Australia,Perth,Balance of WA,Western Australia,Greater Hobart,Balance of Tasmania,Tasmania,Darwin,Balance of NT,Northern Territory,Canberra,Balance of ACT,Australian Capital Territory,Other Territories(c),Total Australia
"Tram, car as passenger",20,0,20,0,0,0,0,0,0,50,0,50,3,0,3,0,0,0,0,0,0,3,0,3,0,76
"Tram, truck",0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Tram, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3
"Tram, bicycle",0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,11
"Tram, other",4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,11
"Taxi, car as driver",327,56,383,213,35,248,131,75,206,447,148,595,480,180,660,95,123,218,56,30,86,136,0,136,0,"2,532"
"Taxi, car as passenger",290,122,412,164,71,235,142,173,315,61,25,86,67,38,105,15,12,27,9,6,15,34,0,34,0,"1,229"
"Taxi, truck",7,5,12,5,3,8,4,5,9,3,0,3,3,3,6,3,0,3,0,0,0,0,0,0,0,41
"Taxi, motorbike/scooter",6,0,6,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Taxi, bicycle",15,8,23,10,6,16,7,25,32,4,0,4,4,4,8,0,0,0,3,3,6,3,0,3,0,92
"Taxi, other",435,66,501,356,22,378,169,73,242,124,11,135,154,32,186,6,5,11,11,13,24,101,0,101,0,"1,578"
"Car as driver, car as passenger","6,283","5,187","11,470","2,632","1,629","4,261","2,032","2,704","4,736","1,912",840,"2,752","2,626","1,324","3,950",420,674,"1,094",295,151,446,901,5,906,5,"29,620"
"Car as driver, truck","1,372","1,166","2,538",830,450,"1,280",356,620,976,304,176,480,446,225,671,46,109,155,24,17,41,78,0,78,0,"6,219"
"Car as driver, motorbike/scooter",423,594,"1,017",448,339,787,278,583,861,144,82,226,234,141,375,24,53,77,38,22,60,51,0,51,0,"3,454"
"Car as driver, bicycle",621,563,"1,184",786,352,"1,138",463,638,"1,101",329,78,407,396,152,548,43,47,90,95,56,151,205,3,208,3,"4,830"
"Car as driver, other",896,506,"1,402",717,296,"1,013",347,405,752,204,100,304,258,161,419,62,67,129,39,29,68,77,0,77,0,"4,164"
"Car as passenger, truck",195,190,385,63,45,108,62,95,157,37,17,54,58,35,93,0,9,9,4,6,10,3,0,3,0,819
"Car as passenger, motorbike/scooter",41,62,103,34,30,64,21,80,101,5,7,12,16,14,30,0,9,9,6,4,10,5,0,5,0,334
"Car as passenger, bicycle",158,177,335,212,134,346,152,331,483,76,20,96,125,77,202,6,8,14,24,16,40,63,0,63,3,"1,582"
"Car as passenger, other",246,167,413,166,77,243,113,164,277,67,28,95,129,75,204,21,15,36,17,23,40,32,0,32,0,"1,340"
"Truck, motorbike/scooter",26,3,29,0,0,0,0,0,0,5,15,20,6,6,12,0,7,7,3,3,6,0,0,0,0,74
"Truck, bicycle",12,3,15,0,0,0,0,0,0,4,3,7,5,3,8,3,0,3,3,0,3,0,0,0,0,36
"Truck, other",58,9,67,3,0,3,0,3,3,19,22,41,8,3,11,3,9,12,0,3,3,6,0,6,0,146
"Motorbike/scooter, bicycle",82,24,106,26,20,46,21,34,55,34,13,47,41,26,67,3,0,3,11,3,14,9,0,9,3,350
"Motorbike/scooter, other",17,43,60,13,36,49,8,45,53,3,13,16,11,13,24,3,8,11,5,3,8,3,0,3,0,224
"Bicycle, other",22,13,35,18,6,24,10,19,29,3,4,7,13,4,17,0,0,0,0,3,3,0,0,0,0,115
"Train, bus, ferry",936,52,988,64,14,78,90,21,111,7,5,12,38,3,41,0,3,3,0,0,0,3,0,3,0,"1,236"
"Train, bus, tram",159,9,168,"2,718",61,"2,779",3,3,6,29,0,29,12,0,12,0,0,0,0,0,0,0,0,0,0,"2,994"
"Train, bus, taxi","1,149",46,"1,195",188,5,193,128,20,148,28,0,28,76,5,81,3,0,3,3,0,3,3,0,3,0,"1,654"
"Train, bus, car as driver","2,301",122,"2,423",580,31,611,256,48,304,184,21,205,654,12,666,0,0,0,0,0,0,0,0,0,0,"4,209"
"Train, bus, car as passenger","4,129",149,"4,278","1,159",41,"1,200",477,50,527,200,9,209,773,9,782,0,0,0,0,0,0,0,0,0,0,"6,996"
"Train, bus, truck",28,0,28,3,0,3,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,40
"Train, bus, motorbike/scooter",10,3,13,3,3,6,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,29
"Train, bus, bicycle",163,22,185,67,9,76,29,5,34,5,0,5,54,0,54,0,0,0,0,0,0,0,0,0,0,354
"Train, bus, other",211,12,223,46,5,51,21,0,21,8,0,8,26,0,26,0,0,0,0,0,0,3,0,3,0,332
"Train, ferry, tram",8,0,8,19,5,24,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,38
"Train, ferry, taxi",25,4,29,5,4,9,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"Train, ferry, car as driver",91,6,97,0,3,3,21,3,24,0,3,3,0,3,3,0,0,0,0,0,0,3,0,3,0,133
"Train, ferry, car as passenger",74,3,77,0,0,0,21,5,26,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,107
"Train, ferry, truck",3,0,3,3,3,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,12
"Train, ferry, motorbike/scooter",3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Train, ferry, bicycle",4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Train, ferry, other",6,0,6,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Train, tram, taxi",11,3,14,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,20
"Train, tram, car as driver",71,9,80,0,0,0,0,0,0,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,0,89
