Method of Travel to Work,Sydney (SD),Balance of NSW,New South Wales,Melbourne (SD),Balance of Victoria,Victoria,Brisbane (SD),Balance of Qld,Queensland,Adelaide (SD),Balance of SA,South Australia,Perth (SD),Balance of WA,Western Australia,Greater Hobart (SD),Balance of Tasmania,Tasmania,Darwin (SD),Balance of NT,Northern Territory,Canberra (SD),Balance of ACT,Australian Capital Territory,Total Australia
Train,"121,308","5,314","126,622","62,366","2,358","64,724","25,421",583,"26,004","5,680",91,"5,771","3,793",67,"3,860",20,18,38,26,15,41,74,3,77,"227,137"
Bus,"76,161","10,312","86,473","18,136","3,571","21,707","24,336","6,852","31,188","25,572","1,805","27,377","24,913","5,869","30,782","4,385","1,727","6,112","1,248","1,215","2,463","9,929",10,"9,939","216,041"
Ferry/tram,"3,870",250,"4,120","22,830",226,"23,056",597,244,841,828,32,860,113,34,147,52,48,100,9,25,34,26,0,26,"29,184"
Taxi,"7,070","2,040","9,110","3,646",872,"4,518","2,215","2,006","4,221","1,329",289,"1,618","1,048",381,"1,429",350,243,593,195,149,344,437,0,437,"22,270"
Car as driver,"783,830","446,976","1,230,806","773,510","261,933","1,035,443","317,600","326,759","644,359","257,105","74,777","331,882","291,374","82,487","373,861","41,774","58,880","100,654","19,531","13,569","33,100","81,020",286,"81,306","3,831,411"
Car as passenger,"103,360","71,776","175,136","87,157","31,253","118,410","44,296","54,585","98,881","33,210","10,019","43,229","33,935","15,183","49,118","6,978","8,492","15,470","3,429","3,121","6,550","12,795",38,"12,833","519,627"
Motorbike/motor scooter,"7,459","10,331","17,790","5,008","3,951","8,959","6,026","11,280","17,306","3,464","2,316","5,780","4,020","2,213","6,233",330,512,842,572,630,"1,202",902,10,912,"59,024"
Bicycle,"7,813","9,665","17,478","10,841","8,083","18,924","5,774","17,936","23,710","6,459","2,416","8,875","5,529","3,915","9,444",365,688,"1,053","1,443","1,537","2,980","2,076",28,"2,104","84,568"
Other,"17,414","14,257","31,671","12,010","6,045","18,055","7,519","11,738","19,257","4,437","2,673","7,110","5,898","3,710","9,608",765,"1,651","2,416",375,684,"1,059","1,107",25,"1,132","90,308"
"Train, bus","42,296",595,"42,891","10,294",133,"10,427","2,147",52,"2,199","1,871",18,"1,889","1,620",16,"1,636",4,4,8,0,3,3,27,0,27,"59,080"
"Train, ferry/tram",626,17,643,"5,362",124,"5,486",54,3,57,14,0,14,4,0,4,0,0,0,0,0,0,6,0,6,"6,210"
"Train, taxi",837,49,886,223,14,237,169,11,180,20,3,23,12,3,15,0,0,0,0,0,0,3,0,3,"1,344"
"Train, car as driver","19,887","1,149","21,036","13,607",989,"14,596","5,715",297,"6,012",817,121,938,"1,119",21,"1,140",0,3,3,3,3,6,9,0,9,"43,740"
"Train, car as passenger","11,692",550,"12,242","5,047",295,"5,342","2,971",116,"3,087",445,28,473,423,12,435,0,0,0,0,3,3,9,0,9,"21,591"
"Train, motorbike/motor scooter",193,27,220,24,14,38,84,9,93,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,361
"Train, bicycle",520,69,589,495,38,533,415,10,425,94,0,94,64,0,64,0,0,0,3,0,3,3,0,3,"1,711"
"Train, other",342,16,358,187,13,200,55,5,60,11,0,11,8,3,11,0,0,0,0,0,0,0,0,0,640
"Bus, ferry/tram","1,719",64,"1,783","2,769",14,"2,783",118,21,139,136,5,141,38,0,38,5,0,5,3,3,6,0,0,0,"4,895"
